playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,156.0,27.0,13.277029914529916,2.8,0.2,0.6,40.6%,0.7,2.0,33.4%,0.2,0.3,87.8%,0.3,0.7,0.9,0.7,0.4,0.4,0.0,0.1,1.7,0.9,1.7,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
2,140.0,30.0,9.190714285714286,2.3,0.6,1.1,53%,0.3,0.9,34.4%,0.2,0.3,66%,0.5,0.8,1.3,0.3,0.2,0.2,0.2,0.1,1.5,0.4,1.8,004941,"ANTONOV, SEMEN",32,https://media-cdn.incrowdsports.com/5fd80688-4e9c-434c-b051-1471ccdcb625.png,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
3,209.0,118.0,17.61164274322169,3.3,0.6,1.2,46%,0.6,1.7,33.9%,0.4,0.5,79.6%,0.5,1.0,1.5,0.6,0.7,0.5,0.1,0.1,2.6,1.1,2.2,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
4,137.0,18.0,9.327372262773721,1.7,0.5,1.0,47%,0.2,0.6,38.3%,0.1,0.2,50%,0.5,0.8,1.3,1.0,0.5,0.4,0.1,0.1,1.4,0.4,2.4,003521,"BALBAY, DOGUS",33,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
5,170.0,31.0,11.358039215686274,4.4,0.6,1.2,50%,1.0,2.5,39.6%,0.3,0.3,90.2%,0.1,0.5,0.6,0.4,0.2,0.2,0.0,0.1,1.1,0.4,2.5,002969,"MAHMUTOGLU, MELIH",34,https://media-cdn.cortextech.io/f3c95ee0-c4ac-4f3a-ae7a-fb6dfd3723b9.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
6,154.0,32.0,14.028030303030302,3.8,0.8,1.6,50.4%,0.6,2.1,29.7%,0.3,0.5,60.2%,0.7,1.4,2.1,0.4,0.3,0.5,0.1,0.1,1.5,0.7,2.8,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
7,155.0,44.0,10.048172043010753,3.1,0.8,1.5,52.8%,0.4,0.9,37.9%,0.4,0.5,81.2%,0.5,1.0,1.5,0.7,0.3,0.5,0.0,0.1,1.5,0.7,2.8,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png
8,141.0,41.0,14.14420803782506,3.8,1.0,1.8,52.7%,0.5,1.6,31.4%,0.4,0.5,76.5%,0.7,1.2,1.9,1.2,0.6,0.9,0.1,0.2,2.0,0.8,3.2,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
9,145.0,22.0,10.566206896551723,3.4,1.0,1.9,55.1%,0.1,0.4,28.6%,1.0,1.3,75.3%,0.8,1.3,2.1,0.4,0.2,0.7,0.5,0.1,2.2,1.3,3.4,003540,"DIOP, ILIMANE",25,https://media-cdn.incrowdsports.com/06ba4860-2029-41d9-af38-d7c646068cfc.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
10,108.0,35.0,15.60679012345679,3.9,0.4,0.9,44.3%,1.0,2.5,40.4%,0.1,0.1,76.9%,0.6,1.5,2.1,1.2,0.4,0.7,0.4,0.1,2.0,0.3,3.6,BFX,"MONIA, SERGEY",37,https://media-cdn.incrowdsports.com/d3e66f80-1885-4da3-bf68-0282f1611f82.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
11,135.0,24.0,14.747654320987655,4.6,0.7,1.7,42.2%,0.8,2.1,36.9%,0.9,1.1,83.3%,0.2,0.6,0.8,1.7,0.3,1.0,0.0,0.1,1.6,1.6,3.7,008099,"STRAZEL, MATTHEW",22,https://media-cdn.cortextech.io/62264af8-6ced-4c06-9917-b872092fe532.png,ASV;MCO,ASV;ASM,LDLC ASVEL Villeurbanne;AS Monaco,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
