playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,season_year,season_code
1,7.0,0.0,2.892857142857143,0.0,0.0,0.3,0%,0.0,0.1,0%,0.0,0.3,0%,0.1,0.3,0.4,0.4,0.0,0.4,0.0,0.0,0.6,0.1,-0.7,003521,"BALBAY, DOGUS",26,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2015,E2015
2,10.0,1.0,12.143333333333334,1.2,0.3,0.8,37.5%,0.1,1.7,5.9%,0.3,0.4,75%,0.2,0.9,1.1,0.1,0.1,0.9,0.4,0.1,0.9,0.6,-0.6,005004,"GRUSZECKI, KAROL",26,https://media-cdn.cortextech.io/2b0e7112-7134-4cd4-a9d7-f1b197a1408a.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
3,7.0,2.0,6.49047619047619,0.6,0.1,1.0,14.3%,0.0,0.6,0%,0.3,0.6,50%,0.6,0.7,1.3,0.6,0.3,0.3,0.1,0.1,1.7,0.6,-0.4,004008,"TEJIC, MARKO",20,https://media-cdn.cortextech.io/6dd62400-2d7d-4de3-b3d7-0775ac3e1e94.png,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
4,10.0,2.0,5.375,1.4,0.6,1.4,42.9%,0.0,0.0,0%,0.2,0.2,100%,0.2,0.3,0.5,0.0,0.0,0.4,0.0,0.2,1.1,0.2,-0.4,BRS,"IDBIHI, YASSIN",32,https://media-cdn.cortextech.io/c0ed81d2-4f99-41cd-8be3-cbaac5ad2244.png,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png,2015,E2015
5,9.0,2.0,10.046296296296298,1.9,0.7,1.3,50%,0.1,1.3,8.3%,0.2,0.2,100%,0.4,0.6,1.0,0.6,0.4,0.2,0.0,0.1,1.7,0.2,0.2,002081,"CERELLA, BRUNO",29,https://media-cdn.incrowdsports.com/e896caad-e221-46e1-8301-84180f183965.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2015,E2015
6,8.0,0.0,9.752083333333333,0.6,0.1,0.4,33.3%,0.1,1.1,11.1%,0.0,0.0,0%,0.1,0.5,0.6,0.2,0.2,0.0,0.0,0.1,0.8,0.6,0.2,KPC,"D'ERCOLE, LORENZO",27,https://media-cdn.cortextech.io/cb7c0f9a-7028-4c84-ac99-be6d9a844e64.png,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
7,6.0,1.0,13.81111111111111,1.2,0.3,0.7,50%,0.2,0.8,20%,0.0,0.0,0%,0.5,0.5,1.0,0.7,0.3,0.3,0.0,0.0,1.7,0.2,0.3,005980,"FORMENTI, MATTEO",33,https://media-cdn.cortextech.io/1b65ed2e-02fa-47f5-8276-467febe117c2.png,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
8,10.0,3.0,14.535,3.3,1.5,3.9,38.5%,0.0,0.0,0%,0.3,0.6,50%,1.1,1.5,2.6,0.7,0.1,1.3,0.0,0.4,3.0,1.1,0.4,001210,"HRYCANIUK, ADAM",31,https://media-cdn.cortextech.io/398df41e-c89e-40a6-a26a-19b95224c62b.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
9,6.0,1.0,6.922222222222222,1.0,0.2,0.3,50%,0.0,0.7,0%,0.7,0.7,100%,0.5,0.7,1.2,0.5,0.0,0.7,0.2,0.0,1.2,0.3,0.5,003389,"WOJCIECHOWSKI, MATHIEU",23,https://media-cdn.cortextech.io/edc33685-bd48-4981-885e-01c5dbd7f7bb.png,LMG,LIM,Limoges Cercle Saint-Pierre,https://media-cdn.incrowdsports.com/bb6b25c9-7720-4603-96c8-f5f6205e8a19.png,2015,E2015
10,7.0,0.0,4.721428571428571,1.9,0.7,1.4,50%,0.1,0.3,50%,0.0,0.0,0%,0.1,0.7,0.9,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.6,005353,"YURTSEVEN, OMER",17,https://media-cdn.cortextech.io/29d995d1-2556-48d7-9870-ef5f214a4a5c.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2015,E2015
