position,positionChange,gamesPlayed,gamesWon,gamesLost,qualified,winPercentage,pointsDifference,pointsFor,pointsAgainst,homeRecord,awayRecord,neutralRecord,overtimeRecord,lastTenRecord,groupName,last5Form,club.code,club.name,club.abbreviatedName,club.editorialName,club.tvCode,club.isVirtual,club.images.crest
1,Equal,34,27,7,True,79.4%,+243,2924,2681,14-3,13-4,0-0,2-1,6-4,Regular Season,"['W', 'W', 'W', 'L', 'W']",MAD,Real Madrid,Real,Real,RMB,False,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
2,Equal,34,23,11,True,67.6%,+172,2752,2580,14-3,9-8,0-0,0-3,8-2,Regular Season,"['W', 'W', 'W', 'W', 'W']",PAN,Panathinaikos AKTOR Athens,Panathinaikos,Panathinaikos,PAO,False,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
3,Equal,34,23,11,True,67.6%,+99,2770,2671,13-4,10-7,0-0,0-1,9-1,Regular Season,"['L', 'W', 'W', 'W', 'W']",MCO,AS Monaco,Monaco,Monaco,ASM,False,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
4,Equal,34,22,12,True,64.7%,+120,2812,2692,15-2,7-10,0-0,0-0,6-4,Regular Season,"['L', 'L', 'W', 'W', 'L']",BAR,FC Barcelona,Barcelona,Barcelona,BAR,False,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
5,Equal,34,22,12,True,64.7%,+117,2643,2526,13-4,9-8,0-0,3-0,9-1,Regular Season,"['L', 'W', 'W', 'W', 'W']",OLY,Olympiacos Piraeus,Olympiacos,Olympiacos,OLY,False,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
6,Equal,34,20,14,True,58.8%,+135,2843,2708,15-2,5-12,0-0,3-1,5-5,Regular Season,"['W', 'L', 'W', 'L', 'L']",ULK,Fenerbahce Beko Istanbul,Fenerbahce,Fenerbahce,FBB,False,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
7,Equal,34,20,14,True,58.8%,+30,2969,2939,13-4,7-10,0-0,1-0,7-3,Regular Season,"['W', 'W', 'W', 'L', 'W']",TEL,Maccabi Playtika Tel Aviv,Maccabi,Maccabi,MTA,False,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png
8,Equal,34,18,16,True,52.9%,-18,2847,2865,10-7,8-9,0-0,0-1,6-4,Regular Season,"['L', 'L', 'L', 'W', 'W']",BAS,Baskonia Vitoria-Gasteiz,Baskonia,Baskonia,BKN,False,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
9,Up,34,17,17,False,50%,+16,2871,2855,13-4,4-13,0-0,1-1,8-2,Regular Season,"['W', 'W', 'W', 'W', 'W']",IST,Anadolu Efes Istanbul,Efes,Efes,EFS,False,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
10,Down,34,17,17,False,50%,-76,2728,2804,12-5,5-12,0-0,0-0,2-8,Regular Season,"['L', 'L', 'L', 'L', 'L']",VIR,Virtus Segafredo Bologna,Virtus,Virtus,VIR,False,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
