teamRanking,gamesPlayed,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,team.code,team.tvCodes,team.name,team.imageUrl
1,196.0,40.1530612244898,76.4,20.0,38.0,52.8%,7.7,21.9,35.2%,13.1,17.1,77%,9.5,22.3,31.8,16.1,6.4,13.5,2.5,2.5,20.9,19.7,80.0,ASV,ASV;ASV;ASV;ASV;ASV;ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
2,267.0,40.28089887640449,77.0,19.4,37.5,51.8%,8.2,23.6,34.7%,13.7,18.0,75.9%,10.9,22.1,33.0,16.8,6.9,12.4,2.0,2.8,21.3,19.9,81.2,RED,CZT;CZV;CZV;CZV;CZV;CZV;CZV;CZV;CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
3,235.0,40.234042553191486,78.5,18.9,36.1,52.3%,9.2,24.8,37.2%,13.0,16.2,80%,9.9,22.5,32.4,16.2,6.6,12.6,2.0,2.5,21.2,19.6,83.0,MUN,BAY;BAY;BAY;BAY;BAY;BAY;BAY;BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
4,296.0,40.236486486486484,77.8,19.6,37.3,52.5%,8.2,21.8,37.9%,13.8,17.4,79.8%,10.1,22.6,32.8,16.9,5.9,13.0,1.9,2.8,21.6,20.4,83.6,ZAL,ZAL;ZAL;ZAL;ZAL;ZAL;ZAL;ZAL;ZAL;ZAL;ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
5,198.0,40.32828282828283,78.8,19.6,37.6,52.3%,9.2,25.9,35.3%,12.1,15.4,78.2%,11.2,22.6,33.7,18.8,6.7,14.6,2.3,3.1,19.4,19.4,84.7,BER,BER;BER;BER;BER;BER;BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
6,132.0,40.15151515151515,79.6,18.5,34.6,53.5%,9.9,27.7,35.8%,12.8,16.5,77.7%,9.7,22.3,32.0,18.5,7.1,12.7,3.2,2.4,22.0,19.1,84.8,KHI,KHI;KHI;KHI;KHI;KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
7,296.0,40.304054054054056,79.9,19.2,36.6,52.4%,9.1,24.4,37.4%,14.2,18.1,78.5%,9.4,23.1,32.6,16.4,6.2,11.9,2.2,2.1,20.5,20.2,86.3,MIL,EA7;EA7;AXM;AXM;AXM;AXM;AXM;EA7;EA7;EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
8,160.0,40.28125,79.9,18.9,35.0,54%,9.3,25.5,36.4%,14.3,17.8,80.4%,9.9,22.8,32.7,17.8,6.2,12.8,1.8,2.6,20.0,20.4,87.5,PAM,VBC;VBC;VBC;VBC;VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
9,296.0,40.4222972972973,80.6,20.5,37.9,54%,8.6,23.9,35.8%,14.0,18.9,73.8%,10.2,23.5,33.7,16.8,6.8,12.0,2.8,2.4,19.9,20.5,89.1,PAN,PAO;PAO;PAO;PAO;PAO;PAO;PAO;PAO;PAO;PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
10,296.0,40.13513513513514,81.8,21.4,40.3,53.2%,8.5,23.5,36%,13.4,17.5,76.6%,11.1,24.0,35.0,17.3,6.7,12.5,2.6,2.5,20.5,19.3,89.1,TEL,MAC;MTA;MTA;MTA;MTA;MTA;MTA;MTA;MTA;MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png
11,295.0,40.32203389830509,80.5,19.8,35.8,55.2%,9.3,24.1,38.7%,13.0,16.6,78.3%,9.6,22.7,32.3,18.0,6.5,12.6,2.3,2.1,20.2,20.0,90.3,ULK,FNB;FNB;FBD;FNB;FNB;FNB;FBB;FBB;FBB;FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
12,296.0,40.13513513513514,81.3,20.4,37.7,54%,9.1,25.2,36.2%,13.2,17.3,76%,10.8,24.4,35.3,18.3,6.5,12.7,2.8,2.7,19.4,19.7,91.4,BAS,LBO;BKN;BKN;KBA;KBA;TDS;BKN;BKN;BKN;BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
13,295.0,40.3728813559322,80.3,19.9,35.8,55.5%,8.7,24.3,35.7%,14.5,19.4,75.1%,10.2,24.2,34.4,18.2,6.5,12.6,2.5,2.3,19.2,20.7,92.0,OLY,OLY;OLY;OLY;OLY;OLY;OLY;OLY;OLY;OLY;OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
14,296.0,40.2195945945946,81.4,20.5,37.7,54.4%,9.1,23.4,38.8%,13.2,17.1,77%,10.3,24.2,34.6,18.9,6.5,13.1,2.2,2.2,20.5,20.1,92.5,BAR,FCB;FCB;FCB;FCB;FCB;FCB;BAR;BAR;BAR;BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
15,186.0,40.32258064516129,85.8,20.6,38.4,53.7%,9.5,24.1,39.4%,16.0,20.1,79.8%,11.3,23.6,34.9,17.7,6.7,12.5,2.7,3.0,21.1,21.7,96.5,CSK,CSK;CSK;CSK;CSK;CSK;CSK;CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
16,298.0,40.31879194630873,84.2,21.1,38.0,55.5%,9.6,24.8,38.5%,13.4,16.8,79.8%,9.8,23.2,33.0,17.9,6.6,11.4,3.0,2.4,18.1,19.6,96.9,IST,EFS;EFS;EFS;EFS;EFS;EFS;EFS;EFS;EFS;EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
17,297.0,40.31986531986532,84.5,20.3,35.9,56.6%,9.9,26.9,36.7%,14.3,18.1,78.9%,10.4,26.0,36.4,19.5,6.3,12.6,3.4,2.0,19.6,20.6,100.0,MAD,RMB;RMB;RMB;RMB;RMB;RMB;RMB;RMB;RMB;RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
