teamRanking,gamesPlayed,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,team.code,team.tvCodes,team.name,team.imageUrl,season_year,season_code
1,10.0,40.0,66.4,18.2,38.7,47%,6.3,20.2,31.2%,11.1,14.4,77.1%,10.2,22.3,32.5,16.3,5.8,13.3,1.5,3.0,23.5,18.9,63.9,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
2,10.0,40.5,69.0,16.4,34.8,47.1%,8.5,24.7,34.4%,10.7,13.0,82.3%,7.5,19.7,27.2,14.3,5.9,12.5,3.5,2.5,20.3,20.1,67.8,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
3,10.0,40.0,69.8,18.1,37.1,48.8%,7.7,19.6,39.3%,10.5,14.7,71.4%,8.7,21.5,30.2,17.8,5.5,17.6,1.9,2.2,20.4,19.9,69.8,LMG,LIM,Limoges Cercle Saint-Pierre,https://media-cdn.incrowdsports.com/bb6b25c9-7720-4603-96c8-f5f6205e8a19.png,2015,E2015
4,10.0,40.0,69.7,21.2,41.9,50.6%,5.7,16.7,34.1%,10.2,13.7,74.5%,9.0,25.6,34.6,15.4,5.8,15.1,1.6,1.8,21.5,19.4,72.9,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2015,E2015
5,10.0,40.0,69.8,18.4,36.8,50%,7.0,23.1,30.3%,12.0,17.9,67%,9.4,22.0,31.4,16.1,8.4,13.3,2.2,1.7,19.4,20.1,73.2,KSK,KSK,Karsiyaka Spor Kulubu,https://media-cdn.incrowdsports.com/d4b8a6ca-e46f-4fc2-acc2-5cc7368f7a88.png,2015,E2015
5,10.0,40.0,71.1,21.2,43.3,49%,6.2,18.6,33.3%,10.1,13.6,74.3%,10.0,22.9,32.9,17.8,7.8,15.3,2.7,4.0,20.5,18.7,73.2,STR,SIG,Strasbourg Illkirch-Graffenstaden Basket,https://media-cdn.incrowdsports.com/554f980e-fded-4943-ab5b-541f1f36f6a9.png,2015,E2015
7,10.0,40.0,73.7,19.2,40.3,47.6%,7.1,22.7,31.3%,14.0,18.1,77.3%,10.7,21.5,32.2,16.2,7.3,11.9,1.5,2.4,23.1,21.5,74.2,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2015,E2015
8,10.0,40.0,75.0,17.2,38.4,44.8%,9.4,23.8,39.5%,12.4,17.0,72.9%,12.3,23.7,36.0,17.3,4.3,13.4,3.1,3.9,23.5,20.3,75.0,TEL,MAC,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2015,E2015
9,10.0,40.5,70.4,18.5,39.1,47.3%,7.0,20.9,33.5%,12.4,18.1,68.5%,11.4,24.9,36.3,16.3,6.6,14.6,3.0,2.6,19.2,21.0,77.0,DAR,DDI,Darussafaka Basketbol,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png,2015,E2015
10,10.0,40.0,76.6,19.9,39.8,50%,7.4,21.4,34.6%,14.6,20.0,73%,11.7,23.7,35.4,17.4,6.5,15.1,3.5,4.1,22.5,20.1,78.5,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
11,10.0,40.0,75.0,20.8,40.7,51.1%,6.6,20.0,33%,13.6,17.8,76.4%,10.1,24.9,35.0,16.5,4.9,13.8,1.5,2.6,21.3,21.0,78.7,CED,CED,KK Cedevita Zagreb,https://media-cdn.incrowdsports.com/ba95084a-224c-4d4a-a306-37a386772f64.png,2015,E2015
12,10.0,40.0,76.3,20.4,41.1,49.6%,8.1,22.4,36.2%,11.2,14.2,78.9%,9.9,25.2,35.1,17.9,7.6,12.8,3.1,3.6,20.9,18.7,83.4,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2015,E2015
13,10.0,41.0,76.1,20.8,41.6,50%,7.3,21.1,34.6%,12.6,18.0,70%,11.9,26.4,38.3,17.4,6.4,12.9,2.8,2.9,21.9,21.5,84.8,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2015,E2015
